Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1740787200000000,0.28620000,0.28740000,0.28550000,0.28650000,22244.00000000,1740788999999999,6371.70360000,52,18806.00000000,5387.81650000,0
1740789000000000,0.28590000,0.28600000,0.28350000,0.28400000,62213.00000000,1740790799999999,17678.41250000,70,36220.00000000,10302.95450000,0
1740790800000000,0.28400000,0.28560000,0.28360000,0.28500000,11331.00000000,1740792599999999,3220.21040000,31,7028.00000000,1998.06870000,0
1740792600000000,0.28520000,0.29040000,0.28520000,0.28990000,20561.00000000,1740794399999999,5919.61600000,54,13268.00000000,3820.85370000,0
1740794400000000,0.28970000,0.29180000,0.28780000,0.29180000,26160.00000000,1740796199999999,7573.82840000,74,14037.00000000,4062.82210000,0
1740796200000000,0.29200000,0.29380000,0.29030000,0.29170000,30749.00000000,1740797999999999,8968.79640000,122,20517.00000000,5987.60040000,0
1740798000000000,0.29190000,0.29280000,0.29110000,0.29270000,11369.00000000,1740799799999999,3318.81670000,81,4348.00000000,1268.29010000,0
1740799800000000,0.29320000,0.29580000,0.29300000,0.29480000,128012.00000000,1740801599999999,37767.84240000,171,57758.00000000,17055.90920000,0
1740801600000000,0.29480000,0.29720000,0.29460000,0.29640000,105876.00000000,1740803399999999,31331.92140000,138,93466.00000000,27652.46100000,0
1740803400000000,0.29620000,0.30210000,0.29620000,0.30000000,279887.00000000,1740805199999999,83549.82030000,261,235571.00000000,70311.93530000,0
1740805200000000,0.29970000,0.30000000,0.29710000,0.29910000,159383.00000000,1740806999999999,47630.45450000,154,80769.00000000,24131.34280000,0
1740807000000000,0.30000000,0.30040000,0.29720000,0.29720000,53409.00000000,1740808799999999,15979.57380000,78,19952.00000000,5969.43330000,0
1740808800000000,0.29740000,0.29940000,0.29730000,0.29810000,33880.00000000,1740810599999999,10114.69140000,65,4616.00000000,1376.33200000,0
1740810600000000,0.29860000,0.30340000,0.29820000,0.30060000,133730.00000000,1740812399999999,40346.67040000,158,74588.00000000,22495.63430000,0
1740812400000000,0.30100000,0.30100000,0.29620000,0.29720000,45196.00000000,1740814199999999,13468.34440000,86,26392.00000000,7858.33420000,0
1740814200000000,0.29700000,0.29720000,0.29490000,0.29560000,27852.00000000,1740815999999999,8240.87360000,73,10690.00000000,3165.67540000,0
1740816000000000,0.29560000,0.30360000,0.29550000,0.30020000,161086.00000000,1740817799999999,48320.79930000,199,135188.00000000,40577.93010000,0
1740817800000000,0.29980000,0.30330000,0.29890000,0.30330000,112537.00000000,1740819599999999,33787.17320000,174,70983.00000000,21329.80280000,0
