Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1740787200000000,2236.80000000,2245.62000000,2230.80000000,2232.26000000,1363.32780000,1740788999999999,3050082.56823300,3170,624.17610000,1396492.63467900,0
1740789000000000,2233.32000000,2235.39000000,2214.62000000,2215.31000000,1199.60410000,1740790799999999,2669872.56112300,2830,556.41130000,1238498.27613100,0
1740790800000000,2215.34000000,2225.84000000,2212.40000000,2220.60000000,870.26150000,1740792599999999,1930595.40419100,1924,390.55460000,866319.96209100,0
1740792600000000,2220.50000000,2262.41000000,2218.60000000,2251.92000000,2173.22690000,1740794399999999,4872613.58804600,5118,962.42540000,2157978.09405100,0
1740794400000000,2251.94000000,2262.09000000,2238.82000000,2259.40000000,2057.57980000,1740796199999999,4631454.12833200,4400,1063.19580000,2392650.83298900,0
1740796200000000,2259.38000000,2274.83000000,2253.95000000,2255.20000000,3127.52140000,1740797999999999,7079163.54127900,6906,1675.48830000,3792925.14342700,0
1740798000000000,2255.29000000,2258.69000000,2248.17000000,2255.27000000,1434.94070000,1740799799999999,3232681.07121100,3522,698.59340000,1573904.90651000,0
1740799800000000,2255.39000000,2269.68000000,2252.86000000,2262.41000000,1914.43790000,1740801599999999,4332058.39539900,4133,926.27080000,2096106.97094300,0
1740801600000000,2262.25000000,2276.92000000,2257.87000000,2269.89000000,3528.88500000,1740803399999999,8006494.24167000,6076,1591.12840000,3609894.32106300,0
1740803400000000,2269.56000000,2280.59000000,2263.00000000,2269.89000000,3222.76810000,1740805199999999,7321130.96265300,6115,1567.81000000,3561195.82266700,0
1740805200000000,2269.70000000,2270.19000000,2254.10000000,2260.62000000,1855.24610000,1740806999999999,4195598.05110800,4071,850.16930000,1922575.49790700,0
1740807000000000,2260.61000000,2260.61000000,2251.84000000,2255.58000000,1086.79970000,1740808799999999,2451551.19698300,2395,475.70900000,1073046.75537300,0
1740808800000000,2256.00000000,2259.28000000,2237.07000000,2237.91000000,1639.73840000,1740810599999999,3684744.33767300,3501,640.00530000,1438201.90496400,0
1740810600000000,2237.92000000,2240.66000000,2230.10000000,2235.80000000,1498.76950000,1740812399999999,3350897.15611000,3192,672.01730000,1502570.09649200,0
1740812400000000,2235.86000000,2235.87000000,2224.23000000,2224.74000000,1587.42580000,1740814199999999,3536893.29678500,3238,642.01010000,1430379.26556300,0
1740814200000000,2224.75000000,2233.19000000,2223.46000000,2228.28000000,1110.85720000,1740815999999999,2474282.71834300,2497,496.81750000,1106553.45519500,0
1740816000000000,2228.67000000,2239.11000000,2228.50000000,2234.29000000,1554.69100000,1740817799999999,3474219.38744700,3443,743.77390000,1661775.14346900,0
1740817800000000,2234.29000000,2237.79000000,2226.57000000,2234.20000000,1336.91780000,1740819599999999,2984776.40551200,2712,646.51240000,1443287.13825100,0
1740819600000000,2234.23000000,2239.00000000,2232.42000000,2236.51000000,1075.86010000,1740821399999999,2404456.41949700,2798,526.49170000,1176667.26256600,0
1740821400000000,2236.39000000,2237.07000000,2228.08000000,2232.82000000,1271.45120000,1740823199999999,2839116.80223000,2427,743.66990000,1660643.47039300,0
1740823200000000,2233.01000000,2233.16000000,2205.31000000,2218.63000000,2342.43750000,1740824999999999,5198225.35572200,4934,1063.62750000,2359806.29408200,0
1740825000000000,2218.59000000,2219.78000000,2198.96000000,2204.01000000,2187.84380000,1740826799999999,4833181.25861900,4529,885.75630000,1956935.56231000,0
1740826800000000,2204.26000000,2206.50000000,2170.74000000,2182.07000000,3837.96310000,1740828599999999,8393659.47172700,7860,1717.89950000,3756877.47666400,0
1740828600000000,2181.92000000,2187.71000000,2180.42000000,2183.47000000,1600.47560000,1740830399999999,3493981.80914600,3411,718.63750000,1568753.65489600,0
1740830400000000,2184.02000000,2186.79000000,2170.81000000,2176.03000000,1720.48980000,1740832199999999,3747001.35685100,3953,799.94310000,1742253.93883800,0
