Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1740787200000000,148.18000000,151.25000000,144.60000000,144.64000000,1640939.73700000,1740808799999999,242555249.77253000,592529,794963.79700000,117552272.83186000,0
1740808800000000,144.64000000,144.80000000,139.53000000,140.35000000,1045790.36300000,1740830399999999,148992855.79277000,377214,526380.42500000,75033761.39229000,0
1740830400000000,140.35000000,141.72000000,138.57000000,139.98000000,843773.70200000,1740851999999999,118162202.90354000,390949,402611.04900000,56400295.01118000,0
1740852000000000,139.97000000,143.82000000,139.63000000,143.66000000,621351.95600000,1740873599999999,88013275.03295000,298082,331840.68600000,47013318.24143000,0
1740873600000000,143.66000000,146.01000000,142.03000000,142.99000000,725084.57100000,1740895199999999,104472571.74384000,391012,309019.46400000,44568513.43506000,0
1740895200000000,142.99000000,145.17000000,142.23000000,143.49000000,501192.33000000,1740916799999999,72016930.22175000,321568,268524.38400000,38595221.64129000,0
1740916800000000,143.50000000,179.85000000,140.04000000,171.41000000,9118852.14300000,1740938399999999,1494681959.38545000,4120037,4789653.28600000,785898358.55771000,0
1740938400000000,171.41000000,179.32000000,165.32000000,178.71000000,3129510.80200000,1740959999999999,540881256.12541000,1657826,1634429.06200000,283065584.06299000,0
1740960000000000,178.72000000,179.47000000,168.11000000,169.80000000,1864202.79800000,1740981599999999,321289516.83027000,973932,891440.56400000,153659680.59041000,0
1740981600000000,169.80000000,169.80000000,156.83000000,161.09000000,2253391.37000000,1741003199999999,364170674.77081000,1186499,1066903.80200000,172228870.90708000,0
1741003200000000,161.08000000,167.07000000,154.07000000,156.17000000,3205497.25500000,1741024799999999,512536877.57041000,1780019,1572530.69700000,251575882.78346000,0
1741024800000000,156.17000000,156.66000000,139.21000000,142.16000000,3773110.61700000,1741046399999999,550081916.22174000,2191266,1777321.65400000,259042646.51563000,0
1741046400000000,142.16000000,145.08000000,132.46000000,138.03000000,2715728.28500000,1741067999999999,373436186.89361000,1724142,1316581.67000000,181116309.30742000,0
1741068000000000,138.02000000,138.83000000,134.62000000,136.98000000,1371709.43800000,1741089599999999,187770690.95720000,777507,649065.78000000,88916845.25285000,0
1741089600000000,136.97000000,143.39000000,130.66000000,140.86000000,4313565.81700000,1741111199999999,591793687.79861000,2328586,2140643.31000000,293430185.94807000,0
1741111200000000,140.86000000,147.00000000,139.95000000,144.79000000,1988594.79400000,1741132799999999,285315888.93522000,943626,1019711.77700000,146505622.42598000,0
1741132800000000,144.80000000,145.55000000,140.82000000,142.17000000,1135284.03300000,1741154399999999,162508185.11837000,562743,494024.38600000,70825986.82647000,0
1741154400000000,142.17000000,149.73000000,140.92000000,147.13000000,1222917.27300000,1741175999999999,179104216.69432000,639047,645063.21900000,94394628.31806000,0
1741176000000000,147.13000000,149.23000000,140.18000000,142.62000000,1827788.26400000,1741197599999999,262366915.88962000,983456,927426.20400000,133079014.88721000,0
1741197600000000,142.61000000,146.84000000,141.80000000,146.28000000,709531.01500000,1741219199999999,102811979.53498000,406410,387801.28200000,56212876.79661000,0
1741219200000000,146.27000000,150.68000000,144.54000000,150.03000000,1039481.32700000,1741240799999999,153947426.99450000,668729,533282.22800000,79033390.98306000,0
1741240800000000,150.03000000,152.90000000,148.34000000,151.71000000,971964.62600000,1741262399999999,146121350.08280000,544391,450653.18400000,67787512.16443000,0
1741262400000000,151.71000000,151.92000000,142.71000000,143.86000000,1691683.81200000,1741283999999999,248754190.87722000,818215,860867.73700000,126561727.53925000,0
1741284000000000,143.85000000,145.92000000,142.44000000,143.31000000,748749.89600000,1741305599999999,107853756.69928000,410765,400881.72300000,57752961.27246000,0
1741305600000000,143.30000000,145.57000000,135.04000000,143.18000000,1922766.43300000,1741327199999999,268086248.62235000,1038295,891771.02900000,124366570.59664000,0
1741327200000000,143.19000000,146.21000000,141.80000000,143.58000000,1140651.25200000,1741348799999999,163798577.44899000,433749,540557.13700000,77660235.04527000,0
1741348800000000,143.57000000,148.13000000,141.34000000,143.38000000,2024343.59700000,1741370399999999,292404932.65935000,1068869,1003693.09500000,145044429.10662000,0
1741370400000000,143.39000000,150.88000000,137.50000000,139.39000000,2179651.48900000,1741391999999999,315218976.46727000,1177031,1018268.78400000,147347664.74476000,0
1741392000000000,139.39000000,141.09000000,137.80000000,139.28000000,811780.36300000,1741413599999999,113235294.06524000,416412,438363.61100000,61169747.96689000,0
1741413600000000,139.28000000,140.00000000,136.64000000,137.58000000,419660.25600000,1741435199999999,58018534.92788000,299317,194838.21400000,26946867.53426000,0
1741435200000000,137.57000000,138.75000000,135.29000000,137.03000000,627263.99400000,1741456799999999,85958602.85242000,401397,315950.95100000,43305221.36677000,0
1741456800000000,137.03000000,138.92000000,136.32000000,137.01000000,277046.78000000,1741478399999999,38097829.13496000,201151,136647.25700000,18790317.92031000,0
1741478400000000,137.01000000,139.50000000,136.53000000,138.80000000,303683.18800000,1741499999999999,41925374.47551000,202305,153347.02400000,21178350.89017000,0
1741500000000000,138.79000000,139.88000000,135.61000000,136.32000000,585655.97700000,1741521599999999,80609802.14887000,320394,264104.27100000,36377905.85095000,0
1741521600000000,136.32000000,136.43000000,126.36000000,126.52000000,1806521.74200000,1741543199999999,237090333.53562000,832855,803229.21300000,105435447.50153000,0
1741543200000000,126.52000000,130.59000000,125.41000000,126.51000000,1213634.74500000,1741564799999999,154891088.32730000,628589,579144.76500000,73959210.27273000,0
1741564800000000,126.52000000,129.25000000,124.03000000,127.63000000,1375048.62700000,1741586399999999,175181667.98029000,569478,682139.59800000,87006558.74462000,0
1741586400000000,127.64000000,131.57000000,125.91000000,129.94000000,1083735.45300000,1741607999999999,139070920.90059000,642923,503093.59600000,64616759.96256000,0
1741608000000000,129.94000000,130.89000000,116.63000000,117.59000000,2638559.56500000,1741629599999999,321841927.00219000,1339336,1181408.29000000,144115494.48425000,0
1741629600000000,117.58000000,120.24000000,115.47000000,118.32000000,1556765.68600000,1741651199999999,184184633.70833000,680482,803784.88400000,95195163.86114000,0
1741651200000000,118.32000000,123.87000000,112.00000000,123.28000000,2427041.77100000,1741672799999999,285910350.48801000,998258,1267072.93800000,149406668.58079000,0
1741672800000000,123.28000000,125.81000000,122.43000000,124.71000000,1030126.06000000,1741694399999999,127494924.00565000,423468,482608.08300000,59759084.75011000,0
1741694400000000,124.71000000,126.76000000,118.59000000,124.06000000,2120898.43200000,1741715999999999,260924447.20926000,1021166,1016959.56300000,125164511.84432000,0
1741716000000000,124.06000000,128.43000000,123.98000000,125.35000000,857211.60000000,1741737599999999,108692490.56923000,453561,452622.25800000,57402480.55705000,0
1741737600000000,125.35000000,127.03000000,121.22000000,122.07000000,999116.79800000,1741759199999999,123508818.05793000,399324,478223.10800000,59157205.17947000,0
1741759200000000,122.06000000,126.84000000,121.44000000,126.76000000,1046926.12000000,1741780799999999,129850630.56627000,486281,496478.08300000,61536419.60825000,0
1741780800000000,126.77000000,131.33000000,123.04000000,123.78000000,1771235.89400000,1741802399999999,224617730.19965000,945906,846078.40100000,107316899.98200000,0
