Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1738368000000000,0.32874000,0.33000000,0.32757000,0.32800000,563541.00000000,1738369799999999,185593.42677000,602,347713.00000000,114506.68379000,0
1738369800000000,0.32810000,0.32959000,0.32780000,0.32917000,319352.00000000,1738371599999999,105064.88153000,301,170381.00000000,56053.10425000,0
1738371600000000,0.32924000,0.33078000,0.32900000,0.33050000,1213880.00000000,1738373399999999,400582.88595000,664,936000.00000000,308935.25291000,0
1738373400000000,0.33062000,0.33197000,0.33044000,0.33074000,673555.00000000,1738375199999999,223079.03626000,695,305736.00000000,101251.69411000,0
1738375200000000,0.33060000,0.33217000,0.33013000,0.33113000,324699.00000000,1738376999999999,107541.53185000,388,161116.00000000,53371.96775000,0
1738377000000000,0.33121000,0.33141000,0.32931000,0.32967000,485875.00000000,1738378799999999,160629.96174000,515,103870.00000000,34331.95510000,0
1738378800000000,0.32970000,0.33029000,0.32830000,0.32859000,444361.00000000,1738380599999999,146131.28833000,515,198028.00000000,65121.22400000,0
1738380600000000,0.32844000,0.32862000,0.32662000,0.32754000,699967.00000000,1738382399999999,229182.69639000,838,205718.00000000,67368.98522000,0
1738382400000000,0.32758000,0.32924000,0.32718000,0.32920000,388699.00000000,1738384199999999,127547.50780000,441,274792.00000000,90175.47388000,0
1738384200000000,0.32925000,0.32984000,0.32885000,0.32885000,582868.00000000,1738385999999999,192081.85728000,421,203030.00000000,66900.08703000,0
1738386000000000,0.32865000,0.32953000,0.32861000,0.32929000,136449.00000000,1738387799999999,44921.88803000,183,58090.00000000,19120.47258000,0
1738387800000000,0.32934000,0.32938000,0.32869000,0.32891000,155309.00000000,1738389599999999,51096.46235000,172,71213.00000000,23426.25238000,0
1738389600000000,0.32890000,0.32890000,0.32728000,0.32771000,455241.00000000,1738391399999999,149283.79981000,519,204989.00000000,67209.75335000,0
1738391400000000,0.32772000,0.32794000,0.32614000,0.32794000,896243.00000000,1738393199999999,293163.82077000,786,269544.00000000,88137.39060000,0
1738393200000000,0.32790000,0.32829000,0.32650000,0.32696000,467556.00000000,1738394999999999,152856.54891000,365,114087.00000000,37354.65631000,0
1738395000000000,0.32714000,0.32729000,0.32528000,0.32562000,500041.00000000,1738396799999999,163051.99273000,571,215633.00000000,70317.73165000,0
1738396800000000,0.32562000,0.32626000,0.32450000,0.32479000,896896.00000000,1738398599999999,291781.72844000,847,386748.00000000,125886.25696000,0
1738398600000000,0.32474000,0.32482000,0.32312000,0.32462000,1293397.00000000,1738400399999999,418969.83292000,1209,735620.00000000,238313.71807000,0
1738400400000000,0.32468000,0.32507000,0.32334000,0.32373000,991957.00000000,1738402199999999,321645.66349000,687,230819.00000000,74864.32469000,0
1738402200000000,0.32391000,0.32405000,0.32020000,0.32094000,1813307.00000000,1738403999999999,583011.58291000,1869,975565.00000000,313495.70837000,0
1738404000000000,0.32104000,0.32312000,0.32099000,0.32295000,612773.00000000,1738405799999999,197468.82846000,800,399916.00000000,128878.04644000,0
1738405800000000,0.32297000,0.32388000,0.32212000,0.32261000,824302.00000000,1738407599999999,266096.60992000,787,389009.00000000,125635.38594000,0
1738407600000000,0.32272000,0.32500000,0.32229000,0.32463000,706086.00000000,1738409399999999,228643.90013000,939,449346.00000000,145539.83172000,0
1738409400000000,0.32463000,0.32536000,0.32437000,0.32529000,768933.00000000,1738411199999999,249722.74577000,603,497917.00000000,161724.75453000,0
1738411200000000,0.32531000,0.32569000,0.32425000,0.32496000,623673.00000000,1738412999999999,202676.99288000,575,323355.00000000,105093.18625000,0
1738413000000000,0.32500000,0.32615000,0.32485000,0.32502000,770124.00000000,1738414799999999,250574.73000000,633,364075.00000000,118462.48356000,0
1738414800000000,0.32505000,0.32508000,0.32435000,0.32435000,347748.00000000,1738416599999999,112918.82056000,317,73079.00000000,23737.71476000,0
1738416600000000,0.32437000,0.32437000,0.32172000,0.32207000,874625.00000000,1738418399999999,282254.54753000,977,241094.00000000,77790.36985000,0
1738418400000000,0.32201000,0.32338000,0.32165000,0.32301000,1924848.00000000,1738420199999999,620614.10766000,906,876254.00000000,282632.45286000,0
1738420200000000,0.32293000,0.32351000,0.32095000,0.32109000,914403.00000000,1738421999999999,294567.52554000,836,388718.00000000,125314.98009000,0
1738422000000000,0.32110000,0.32205000,0.31978000,0.32195000,2655584.00000000,1738423799999999,852074.03771000,1750,1950797.00000000,625983.62588000,0
1738423800000000,0.32184000,0.32266000,0.32127000,0.32196000,428928.00000000,1738425599999999,138172.77071000,510,208951.00000000,67327.86139000,0
1738425600000000,0.32186000,0.32335000,0.32095000,0.32226000,498844.00000000,1738427399999999,160769.56012000,648,274996.00000000,88672.80310000,0
1738427400000000,0.32232000,0.32250000,0.31947000,0.31972000,845126.00000000,1738429199999999,271253.09801000,857,267626.00000000,85874.17557000,0
1738429200000000,0.31964000,0.32282000,0.31964000,0.32236000,1303813.00000000,1738430999999999,419280.54235000,1064,740603.00000000,238133.66300000,0
1738431000000000,0.32237000,0.32241000,0.32103000,0.32220000,698645.00000000,1738432799999999,224860.22825000,529,165286.00000000,53209.27078000,0
1738432800000000,0.32220000,0.32243000,0.32067000,0.32132000,1218033.00000000,1738434599999999,391764.33167000,783,394255.00000000,126806.97028000,0
1738434600000000,0.32135000,0.32202000,0.31871000,0.31938000,1132538.00000000,1738436399999999,362443.11090000,1085,660878.00000000,211546.06039000,0
1738436400000000,0.31942000,0.31951000,0.31644000,0.31689000,2589723.00000000,1738438199999999,823670.34573000,2264,1132664.00000000,360252.55893000,0
1738438200000000,0.31692000,0.31731000,0.31321000,0.31516000,2844820.00000000,1738439999999999,895853.70501000,2545,1334864.00000000,420468.62876000,0
1738440000000000,0.31516000,0.31521000,0.31164000,0.31188000,2595007.00000000,1738441799999999,814149.75979000,2070,963563.00000000,301826.45764000,0
1738441800000000,0.31190000,0.31432000,0.31070000,0.31332000,2261740.00000000,1738443599999999,705610.29749000,2289,960392.00000000,299772.09760000,0
1738443600000000,0.31303000,0.31587000,0.31213000,0.31462000,2024920.00000000,1738445399999999,637823.22288000,1479,1253467.00000000,395023.00518000,0
1738445400000000,0.31470000,0.31470000,0.31121000,0.31175000,1954842.00000000,1738447199999999,611834.52516000,1465,550686.00000000,172103.78806000,0
1738447200000000,0.31171000,0.31312000,0.30631000,0.30743000,4254951.00000000,1738448999999999,1318257.32089000,3276,1792818.00000000,555841.58635000,0
1738449000000000,0.30729000,0.30932000,0.30366000,0.30776000,4376271.00000000,1738450799999999,1341795.76090000,3820,1584804.00000000,486778.57009000,0
1738450800000000,0.30758000,0.30835000,0.30321000,0.30580000,5124265.00000000,1738452599999999,1561790.84118000,3503,3438007.00000000,1047337.71139000,0
1738452600000000,0.30576000,0.30992000,0.30546000,0.30801000,2353195.00000000,1738454399999999,725720.90671000,2188,1423292.00000000,438974.47312000,0
1738454400000000,0.30767000,0.31191000,0.30710000,0.31165000,2192562.00000000,1738456199999999,680459.85793000,1706,1591131.00000000,494184.67664000,0
