Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1738368000000000,0.3787,0.3794,0.3772,0.3772,28920.0,10943.7021,25,3247.0,1229.9321
1738369800000000,0.3768,0.382,0.3768,0.3805,47504.0,18071.8681,86,29130.0,11070.8254
1738371600000000,0.3814,0.3835,0.3813,0.3835,29713.0,11370.2665,79,19685.0,7535.7628
1738373400000000,0.3838,0.3856,0.3817,0.3817,14197.0,5446.1023,51,6570.0,2519.9717
1738375200000000,0.3811,0.3843,0.3806,0.3831,26566.0,10170.6088,61,20980.0,8034.0505
1738377000000000,0.383,0.3847,0.3821,0.384,15691.0,6019.2224,38,8602.0,3300.5314
1738378800000000,0.3835,0.3835,0.381,0.381,16859.0,6436.0065,43,8004.0,3057.5238
1738380600000000,0.3798,0.3801,0.3786,0.3786,14985.0,5681.8002,37,2243.0,851.9238
1738382400000000,0.3801,0.3806,0.3786,0.3806,16504.0,6262.03,43,3883.0,1474.4695
1738384200000000,0.3795,0.3804,0.3779,0.3782,34120.0,12951.2867,71,15027.0,5702.7244
1738386000000000,0.3783,0.3791,0.3767,0.379,110341.0,41647.3405,194,44869.0,16935.9188
1738387800000000,0.3788,0.3804,0.3784,0.3794,16079.0,6099.2621,50,12327.0,4674.6905
1738389600000000,0.3793,0.3793,0.376,0.376,79899.0,30182.2981,114,15758.0,5953.6953
1738391400000000,0.3761,0.3778,0.3743,0.3778,99068.0,37220.4666,125,72699.0,27298.9065
1738393200000000,0.3779,0.378,0.3757,0.3759,32621.0,12284.5643,77,6736.0,2536.7396
1738395000000000,0.3761,0.3762,0.3746,0.3751,57815.0,21685.6454,59,37354.0,14012.3726
1738396800000000,0.3752,0.3764,0.3729,0.3736,54926.0,20578.1437,143,24001.0,9001.5812
1738398600000000,0.3732,0.3743,0.3721,0.3741,68430.0,25516.7216,134,24065.0,8977.5978
1738400400000000,0.3742,0.3742,0.3704,0.3708,111200.0,41412.106,152,38226.0,14241.7042
1738402200000000,0.3707,0.3707,0.3655,0.3663,122471.0,45103.7413,254,55078.0,20249.6254
1738404000000000,0.3675,0.37,0.3671,0.3693,57783.0,21275.7535,125,40892.0,15056.9575
1738405800000000,0.3694,0.3705,0.3667,0.3672,486937.0,180101.0898,500,47990.0,17726.3089
1738407600000000,0.3672,0.371,0.3665,0.3697,73069.0,26985.4229,158,48404.0,17883.8013
1738409400000000,0.3701,0.3713,0.3685,0.3713,25855.0,9557.871,92,15742.0,5819.656
1738411200000000,0.3713,0.3715,0.3693,0.3705,37509.0,13892.0239,89,14127.0,5231.5031
1738413000000000,0.3701,0.3721,0.37,0.3706,28919.0,10727.1026,90,8487.0,3149.1681
1738414800000000,0.3704,0.3708,0.3694,0.3704,136550.0,50499.8613,276,93539.0,34592.9486
1738416600000000,0.3703,0.3704,0.3648,0.365,131946.0,48479.7604,301,46845.0,17266.5508
1738418400000000,0.365,0.3675,0.3644,0.3667,64627.0,23677.1152,146,29270.0,10722.6459
1738420200000000,0.3677,0.3685,0.3652,0.3652,97396.0,35776.3443,194,6280.0,2307.8716
1738422000000000,0.3654,0.366,0.3628,0.3643,105322.0,38412.7123,153,57444.0,20960.5013
1738423800000000,0.3646,0.3685,0.3639,0.3671,69991.0,25668.7699,142,50375.0,18478.5642
1738425600000000,0.367,0.3697,0.3662,0.3684,93641.0,34504.069,169,66452.0,24501.8665
1738427400000000,0.3683,0.3686,0.3644,0.3646,89678.0,32872.1046,157,36994.0,13584.6097
1738429200000000,0.3648,0.3685,0.3648,0.3673,51838.0,18995.0685,123,19202.0,7033.8312
1738431000000000,0.3672,0.3672,0.365,0.3664,28213.0,10346.0024,50,10954.0,4015.5718
1738432800000000,0.3665,0.3665,0.3643,0.365,35339.0,12911.9874,70,6186.0,2260.2669
1738434600000000,0.365,0.3658,0.3611,0.3614,93792.0,33997.1141,137,16071.0,5832.1891
1738436400000000,0.3614,0.3615,0.3578,0.3583,203121.0,73041.2829,383,19027.0,6835.2686
1738438200000000,0.3577,0.3577,0.3551,0.3569,150293.0,53537.441,258,61713.0,21997.6362
1738440000000000,0.3568,0.3568,0.3521,0.3523,247474.0,87593.6212,378,103124.0,36455.9614
1738441800000000,0.352,0.3563,0.3513,0.3552,136334.0,48150.3226,273,89852.0,31756.2284
1738443600000000,0.3551,0.3579,0.3534,0.3561,119877.0,42657.4042,239,86866.0,30930.8647
1738445400000000,0.3553,0.3553,0.3521,0.3529,149444.0,52893.3942,235,41052.0,14543.1556
1738447200000000,0.3533,0.3543,0.3484,0.3486,145856.0,51204.1402,196,46010.0,16168.8226
1738449000000000,0.3487,0.351,0.3473,0.3487,133354.0,46514.596,152,66800.0,23335.94
1738450800000000,0.3484,0.3485,0.3445,0.3463,122007.0,42198.2393,216,35832.0,12399.5483
1738452600000000,0.3462,0.351,0.346,0.3476,98349.0,34348.5129,201,56617.0,19780.6022
1738454400000000,0.3475,0.3527,0.3471,0.3525,119712.0,42032.4983,194,78903.0,27721.2247
1738456200000000,0.3523,0.3553,0.3517,0.3551,73335.0,25948.1636,146,55881.0,19770.271
1738458000000000,0.355,0.3563,0.3534,0.3557,75948.0,26978.202,157,29905.0,10620.7026
1738459800000000,0.3548,0.3551,0.3526,0.3526,28293.0,10016.3201,76,17228.0,6101.4308
1738461600000000,0.3526,0.3526,0.3481,0.3501,32051.0,11248.082,85,15307.0,5371.6153
1738463400000000,0.3495,0.3495,0.345,0.3458,59938.0,20777.8317,127,7439.0,2578.3106
1738465200000000,0.3456,0.3461,0.3351,0.337,276282.0,93772.8032,478,84513.0,28602.5174
1738467000000000,0.3368,0.3406,0.336,0.336,97812.0,33103.5997,243,54076.0,18303.3247
1738468800000000,0.3366,0.3407,0.3344,0.3397,118621.0,40013.2423,194,54441.0,18353.5347
1738470600000000,0.3389,0.3409,0.3381,0.3382,166322.0,56558.8844,307,113735.0,38698.6828
1738472400000000,0.3387,0.3438,0.3386,0.3421,71130.0,24318.4614,136,43561.0,14907.7438
1738474200000000,0.3424,0.3452,0.3423,0.3432,79755.0,27397.2017,174,55951.0,19235.1275
1738476000000000,0.3435,0.3462,0.3429,0.3457,109173.0,37652.1239,175,93411.0,32221.5065
1738477800000000,0.3457,0.3461,0.3433,0.3434,123538.0,42517.5633,177,68193.0,23464.4921
1738479600000000,0.3433,0.3434,0.3402,0.3402,42283.0,14473.3106,116,18968.0,6496.2554
1738481400000000,0.3401,0.3405,0.3384,0.3391,113410.0,38495.8077,165,14736.0,5000.0522
1738483200000000,0.3387,0.3437,0.3376,0.3423,141484.0,48240.6101,237,101798.0,34702.532
1738485000000000,0.3433,0.3461,0.3417,0.3426,124316.0,42876.7215,224,86355.0,29791.5187
1738486800000000,0.3426,0.3426,0.3398,0.3405,31281.0,10672.2004,87,18791.0,6407.4883
1738488600000000,0.3405,0.3423,0.3404,0.3415,59620.0,20350.3722,104,38647.0,13192.1107
1738490400000000,0.3414,0.3415,0.3373,0.3374,44366.0,15065.6668,75,28985.0,9854.6448
1738492200000000,0.3371,0.3392,0.3361,0.3375,57137.0,19276.5352,137,29088.0,9820.4855
1738494000000000,0.3377,0.3388,0.3325,0.3325,145521.0,48683.9481,238,68340.0,22880.1374
1738495800000000,0.3325,0.3333,0.3285,0.3298,313213.0,103595.216,544,143775.0,47535.056
1738497600000000,0.3296,0.3336,0.3288,0.3309,198979.0,65839.8008,278,74725.0,24800.4289
1738499400000000,0.3307,0.331,0.3251,0.3251,321242.0,105264.7174,409,96121.0,31501.5907
1738501200000000,0.3254,0.3303,0.3254,0.33,379927.0,124665.2057,434,251959.0,82762.1463
1738503000000000,0.3291,0.3348,0.3287,0.3342,84858.0,28166.3206,203,52149.0,17297.9701
1738504800000000,0.3351,0.3363,0.3333,0.3357,84662.0,28356.3032,151,49752.0,16693.7764
1738506600000000,0.3358,0.3358,0.3325,0.3331,83578.0,27863.8833,143,24037.0,8020.5982
1738508400000000,0.3319,0.3319,0.3272,0.3273,62700.0,20693.7097,157,33933.0,11204.1513
1738510200000000,0.3269,0.3308,0.326,0.33,49817.0,16383.4698,150,26560.0,8747.379
1738512000000000,0.3298,0.3299,0.3248,0.3249,230317.0,75445.2064,375,138865.0,45508.9049
1738513800000000,0.3253,0.3255,0.3159,0.3179,386752.0,123925.713,744,127102.0,40705.716
1738515600000000,0.3174,0.3204,0.3131,0.3143,584201.0,185794.372,712,213033.0,67651.1697
1738517400000000,0.3143,0.3172,0.305,0.3074,1140421.0,352875.8959,1402,671176.0,207247.2457
1738519200000000,0.3081,0.3108,0.303,0.3097,1204960.0,370238.0975,1484,661084.0,203688.8734
1738521000000000,0.3086,0.3104,0.2996,0.3006,1094358.0,333969.215,1452,525474.0,160425.8795
1738522800000000,0.3001,0.3026,0.2962,0.302,939383.0,280999.3828,1394,339184.0,101650.1282
1738524600000000,0.302,0.3148,0.302,0.3113,785944.0,243556.3669,1163,405665.0,125444.6533
1738526400000000,0.3101,0.3149,0.3088,0.3116,404662.0,126533.1322,460,229807.0,71976.7659
1738528200000000,0.3121,0.3123,0.3063,0.3068,214645.0,66239.1967,327,113077.0,34925.6709
1738530000000000,0.3066,0.3078,0.302,0.3025,174349.0,53262.7351,273,91309.0,27920.4319
1738531800000000,0.3026,0.3069,0.3006,0.3017,490708.0,148760.1626,441,229398.0,69905.351
1738533600000000,0.3015,0.3083,0.3015,0.3031,340626.0,104036.6085,327,174778.0,53525.9679
1738535400000000,0.3015,0.3015,0.283,0.2992,1973061.0,575072.422,1524,761976.0,223327.3731
1738537200000000,0.2986,0.2986,0.2872,0.2897,592652.0,173497.8395,748,266122.0,77689.2827
1738539000000000,0.2902,0.3009,0.2889,0.3,293042.0,86772.3735,586,171583.0,50955.7609
1738540800000000,0.2997,0.2997,0.2843,0.2864,580679.0,169493.3355,955,174033.0,50907.3755
1738542600000000,0.2872,0.2877,0.2706,0.2815,1324359.0,368324.3352,2072,448574.0,124914.6728
1738544400000000,0.2811,0.2845,0.2758,0.2759,532502.0,149395.6322,908,279924.0,78637.9743
1738546200000000,0.2765,0.2786,0.2358,0.2496,2733966.0,700662.9599,3987,1003807.0,258381.6862
1738548000000000,0.2497,0.2524,0.2188,0.2471,4050589.0,980561.4482,5064,1923023.0,467274.9815
1738549800000000,0.2471,0.2503,0.2447,0.249,657274.0,162351.3889,765,374257.0,92548.1008
1738551600000000,0.2491,0.2671,0.2489,0.2622,545952.0,142607.5126,535,308263.0,80344.8496
1738553400000000,0.2618,0.267,0.2591,0.2632,132828.0,34845.5407,163,75849.0,19867.4024
1738555200000000,0.264,0.2668,0.2566,0.2567,121651.0,31629.6809,137,83028.0,21539.836
1738557000000000,0.2562,0.2575,0.2512,0.2513,196467.0,49870.1427,331,79567.0,20241.5149
1738558800000000,0.2518,0.2623,0.2516,0.26,264783.0,68261.5584,380,186844.0,48213.7057
1738560600000000,0.2595,0.2694,0.2593,0.2692,379721.0,100717.9265,702,224996.0,59630.4512
1738562400000000,0.2687,0.2759,0.2644,0.2737,525797.0,142360.6077,692,344279.0,93382.2763
1738564200000000,0.2729,0.2765,0.2707,0.2757,281503.0,77177.7637,431,146936.0,40274.6769
1738566000000000,0.2756,0.2839,0.2744,0.2839,459390.0,128201.5326,837,199346.0,55448.9439
1738567800000000,0.2839,0.2898,0.2821,0.2883,791235.0,226789.6059,1022,491574.0,140976.9423
1738569600000000,0.2883,0.2883,0.2798,0.28,436576.0,123410.3803,545,268591.0,75946.021
1738571400000000,0.28,0.2801,0.2765,0.2787,279027.0,77530.338,397,95410.0,26536.3856
1738573200000000,0.2783,0.2834,0.2779,0.2797,452586.0,126928.3298,549,150606.0,42355.5271
1738575000000000,0.2794,0.2806,0.2759,0.277,327512.0,91037.7545,549,158416.0,44009.1403
1738576800000000,0.2771,0.2818,0.2756,0.2811,239586.0,66759.0675,435,113178.0,31522.3724
1738578600000000,0.2811,0.2873,0.2807,0.2873,281519.0,80037.2252,391,184882.0,52570.53
1738580400000000,0.2872,0.2872,0.2808,0.2815,258251.0,73503.6022,400,111060.0,31644.4363
1738582200000000,0.2808,0.281,0.277,0.2782,257529.0,71933.6224,273,163766.0,45737.9072
1738584000000000,0.2782,0.2824,0.2776,0.2797,226924.0,63543.1984,358,88612.0,24795.0674
1738585800000000,0.2788,0.2797,0.2734,0.2736,97772.0,27040.6425,198,44250.0,12300.3805
1738587600000000,0.2738,0.2764,0.2695,0.2695,175363.0,47633.1448,300,34892.0,9542.2444
1738589400000000,0.2697,0.2751,0.2697,0.2721,266295.0,72338.921,361,140619.0,38132.6453
1738591200000000,0.2724,0.2724,0.2626,0.265,477634.0,127051.7519,868,247993.0,65925.5938
1738593000000000,0.2647,0.2808,0.2626,0.2798,1836524.0,504009.0148,3139,836114.0,229585.6921
1738594800000000,0.2789,0.2979,0.2783,0.2949,875497.0,252931.3802,1502,442721.0,127673.0776
1738596600000000,0.2947,0.3021,0.2916,0.3007,982349.0,292017.3677,1726,513660.0,152723.4365
1738598400000000,0.3003,0.3053,0.2979,0.3038,683948.0,206416.1289,1242,294919.0,89079.6825
1738600200000000,0.3039,0.3077,0.3017,0.3023,618872.0,188594.4269,1060,285016.0,86976.9184
1738602000000000,0.303,0.3035,0.2989,0.2991,170083.0,51127.4296,313,108955.0,32751.554
1738603800000000,0.299,0.3029,0.2961,0.3023,292949.0,87770.7613,529,112675.0,33725.2885
1738605600000000,0.302,0.3021,0.2984,0.3004,340226.0,102063.0281,470,98387.0,29520.9312
1738607400000000,0.3003,0.3059,0.2994,0.3058,283001.0,85772.8513,458,195574.0,59300.293
1738609200000000,0.307,0.3124,0.3038,0.3094,517109.0,159812.6141,869,206530.0,63794.8229
1738611000000000,0.3091,0.3166,0.309,0.3154,399228.0,125525.9957,632,210323.0,66144.7948
1738612800000000,0.3156,0.3157,0.3051,0.3056,452333.0,139660.2594,758,251243.0,77756.4154
1738614600000000,0.307,0.3074,0.3028,0.3054,179108.0,54671.0752,322,68219.0,20842.161
1738616400000000,0.3053,0.3113,0.3053,0.3103,196775.0,60673.6346,298,72475.0,22347.6775
1738618200000000,0.3103,0.3163,0.3091,0.3142,313014.0,97833.0739,582,194671.0,60813.6215
1738620000000000,0.3139,0.319,0.3127,0.3176,299691.0,94652.155,550,157378.0,49806.9054
1738621800000000,0.3175,0.3176,0.3114,0.3136,217433.0,68382.7192,302,134063.0,42178.5334
1738623600000000,0.3134,0.3145,0.3124,0.313,80646.0,25272.6615,99,21046.0,6594.8306
