Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1738368000000000,0.00842,0.008437,0.008408,0.008437,142574.0,1201.980664,14,115907.0,977.341249
1738369800000000,0.008412,0.008526,0.008411,0.008521,201832.0,1710.668257,10,68414.0,581.052352
1738371600000000,0.008524,0.008541,0.008512,0.00853,242590.0,2068.494098,16,89997.0,766.851135
1738373400000000,0.008539,0.008539,0.008504,0.008504,31311.0,266.679504,2,11736.0,100.213704
1738375200000000,0.008533,0.00857,0.008532,0.00854,84982.0,726.357101,7,36319.0,310.733735
1738377000000000,0.008535,0.008535,0.008519,0.008519,23653.0,201.687251,2,11709.0,99.936315
1738378800000000,0.008496,0.008502,0.008495,0.008497,132013.0,1121.754037,9,55469.0,471.271029
1738380600000000,0.008485,0.008496,0.008469,0.008494,278719.0,2364.89761,12,109637.0,929.48686
1738382400000000,0.008485,0.008508,0.008465,0.008483,229886.0,1950.625458,18,70396.0,596.691982
1738384200000000,0.008545,0.00855,0.008534,0.008534,463074.0,3957.249416,12,61102.0,521.901562
1738386000000000,0.008511,0.008513,0.008511,0.008513,708085.0,6027.849305,33,708085.0,6027.849305
1738387800000000,0.008516,0.008516,0.008498,0.008498,279555.0,2378.4911,5,39150.0,333.2448
1738389600000000,0.008493,0.008499,0.008484,0.00849,106017.0,900.199017,7,62299.0,529.254393
1738391400000000,0.008486,0.008531,0.008468,0.008531,181253.0,1540.429346,15,60348.0,512.271084
1738393200000000,0.008494,0.008494,0.008475,0.008475,90436.0,767.76462,6,70861.0,601.49457
1738395000000000,0.008478,0.008494,0.008478,0.008481,71484.0,606.482725,6,26542.0,225.364144
1738396800000000,0.008523,0.008523,0.008457,0.008471,286096.0,2427.070739,32,139912.0,1186.103794
1738398600000000,0.008462,0.008468,0.008414,0.008449,630641.0,5320.011133,44,339528.0,2863.203276
1738400400000000,0.008402,0.008425,0.008375,0.008381,356780.0,2997.187196,27,119411.0,1001.885648
1738402200000000,0.00836,0.008363,0.008288,0.008291,2338103.0,19475.428594,127,1484715.0,12358.693816
1738404000000000,0.008317,0.008353,0.008317,0.008326,933709.0,7787.000374,99,86823.0,723.60262
1738405800000000,0.008383,0.008394,0.008323,0.008323,245451.0,2050.81468,15,28059.0,234.810606
1738407600000000,0.008315,0.008395,0.0083,0.008391,487744.0,4079.173442,30,225690.0,1888.934761
1738409400000000,0.008385,0.008416,0.008385,0.008405,108868.0,914.848178,12,40968.0,344.211522
1738411200000000,0.008428,0.008447,0.008396,0.008422,994140.0,8360.537002,51,400933.0,3374.384437
1738413000000000,0.008434,0.008465,0.008434,0.008465,400245.0,3383.661074,31,313320.0,2648.115661
1738414800000000,0.008422,0.008453,0.008422,0.008443,70673.0,595.918926,5,33241.0,280.291625
1738416600000000,0.008442,0.008444,0.008332,0.008332,324545.0,2723.584082,24,155785.0,1310.293663
1738418400000000,0.00834,0.008379,0.00832,0.008355,163792.0,1368.339826,14,53766.0,449.083546
1738420200000000,0.008355,0.008368,0.008298,0.008298,111988.0,932.72638,10,37772.0,313.68952
1738422000000000,0.008291,0.008304,0.008214,0.008223,370168.0,3056.225889,28,329021.0,2717.482081
1738423800000000,0.008238,0.008278,0.008238,0.008243,413086.0,3410.080115,27,36931.0,305.536165
1738425600000000,0.008243,0.008308,0.008217,0.008264,1339263.0,11044.726926,84,500172.0,4126.424435
1738427400000000,0.00825,0.00825,0.0082,0.0082,309524.0,2542.938369,30,100996.0,831.933809
1738429200000000,0.008199,0.008282,0.008199,0.008274,1099288.0,9055.989601,61,577937.0,4770.043893
1738431000000000,0.008237,0.008238,0.008201,0.008215,1291363.0,10616.231008,60,178039.0,1462.079608
1738432800000000,0.008216,0.008216,0.008171,0.00818,1404733.0,11508.381265,79,1056481.0,8656.512714
1738434600000000,0.008179,0.008179,0.008087,0.008104,188844.0,1534.155605,22,65257.0,530.951144
1738436400000000,0.008097,0.008097,0.008002,0.008003,398996.0,3212.9556,32,189544.0,1528.72165
1738438200000000,0.008,0.008003,0.007923,0.007948,3097213.0,24664.396724,186,1484982.0,11837.962418
1738440000000000,0.007937,0.007937,0.00781,0.007863,2447297.0,19255.113852,146,1493483.0,11768.576647
1738441800000000,0.007824,0.0079,0.0078,0.007878,923242.0,7248.598001,66,589765.0,4634.264841
1738443600000000,0.007879,0.007922,0.00785,0.007915,1518836.0,12018.075472,73,1241438.0,9829.377298
1738445400000000,0.007896,0.007896,0.007835,0.007848,1206699.0,9491.828579,92,755905.0,5946.710718
1738447200000000,0.007846,0.007861,0.007753,0.007753,1022115.0,7981.986288,73,482090.0,3766.229963
1738449000000000,0.007756,0.007772,0.007723,0.007755,1200424.0,9306.972587,138,686528.0,5326.018285
1738450800000000,0.007747,0.007747,0.007635,0.007659,2562073.0,19651.660176,181,1470884.0,11285.411851
1738452600000000,0.007662,0.007776,0.007658,0.007709,821621.0,6351.464753,78,308880.0,2387.106058
1738454400000000,0.007692,0.007772,0.007672,0.007741,304473.0,2351.49867,33,152372.0,1172.134396
1738456200000000,0.007772,0.007796,0.007751,0.007759,767432.0,5962.460558,66,453035.0,3520.910209
1738458000000000,0.007772,0.007804,0.007749,0.007779,1662825.0,12934.239421,128,695158.0,5407.083452
1738459800000000,0.007749,0.007764,0.007696,0.00775,1461025.0,11285.270585,86,844386.0,6528.478545
1738461600000000,0.007748,0.007748,0.007677,0.007728,2819651.0,21777.281993,224,1329599.0,10268.816542
1738463400000000,0.007713,0.007713,0.007632,0.007638,1742748.0,13351.671117,104,898833.0,6883.461816
1738465200000000,0.007642,0.007671,0.007465,0.007498,2946361.0,22248.95949,185,1067715.0,8040.079657
1738467000000000,0.007478,0.007589,0.007467,0.007494,1213180.0,9144.265018,90,606442.0,4578.152502
1738468800000000,0.007486,0.007645,0.007479,0.007624,850164.0,6426.060834,63,547755.0,4143.642769
1738470600000000,0.007617,0.007634,0.007595,0.007595,306820.0,2335.152242,25,79440.0,604.75024
1738472400000000,0.007594,0.007695,0.007594,0.007688,893661.0,6843.219569,50,657307.0,5035.028513
1738474200000000,0.007705,0.007745,0.007705,0.007724,683337.0,5273.441559,36,537593.0,4147.190727
1738476000000000,0.007699,0.007738,0.007679,0.00773,1350808.0,10419.413499,84,416492.0,3210.509568
1738477800000000,0.00772,0.00772,0.007642,0.007657,1448033.0,11091.399489,134,556860.0,4263.991903
1738479600000000,0.007649,0.007677,0.007624,0.007635,1195693.0,9146.389416,98,437709.0,3346.611152
1738481400000000,0.00764,0.007663,0.007621,0.007656,1044840.0,7982.809944,97,502065.0,3837.379719
1738483200000000,0.007653,0.007724,0.007635,0.007724,586530.0,4495.761208,36,214699.0,1651.233817
1738485000000000,0.007726,0.007752,0.007711,0.007715,985939.0,7626.622271,48,825530.0,6386.398918
1738486800000000,0.007709,0.007709,0.007651,0.007681,1420983.0,10902.231686,112,816900.0,6270.786214
1738488600000000,0.007676,0.007694,0.007662,0.007692,600433.0,4610.039967,65,164593.0,1265.411676
1738490400000000,0.007692,0.007692,0.007585,0.007596,1762750.0,13422.721445,82,750339.0,5700.097094
1738492200000000,0.007595,0.007661,0.00758,0.007631,1856610.0,14155.651573,106,889275.0,6774.180055
1738494000000000,0.007633,0.007652,0.007504,0.007504,3323047.0,25107.776743,126,1853818.0,13986.01191
1738495800000000,0.007518,0.007531,0.007402,0.007441,2667289.0,19849.743923,181,545024.0,4063.21799
1738497600000000,0.007442,0.007545,0.00744,0.007505,695018.0,5206.346451,53,404896.0,3038.851827
1738499400000000,0.007501,0.007507,0.007418,0.007418,2626979.0,19625.911966,171,1228754.0,9185.13773
