Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1572566400000000,4.818,4.818,4.818,4.818,2.489,11.992002,1,2.489,11.992002
1572568200000000,4.818,4.818,4.818,4.818,0.0,0.0,0,0.0,0.0
1572570000000000,4.818,4.818,4.818,4.818,2.08,10.02144,1,0.0,0.0
1572571800000000,4.818,4.818,4.818,4.818,0.0,0.0,0,0.0,0.0
1572573600000000,4.818,4.818,4.818,4.818,0.0,0.0,0,0.0,0.0
1572575400000000,4.79,4.79,4.79,4.79,2.486,11.90794,1,0.0,0.0
1572577200000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572579000000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572580800000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572582600000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572584400000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572586200000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572588000000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572589800000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572591600000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572593400000000,4.79,4.79,4.79,4.79,0.0,0.0,0,0.0,0.0
1572595200000000,4.844,4.844,4.844,4.844,81.794,396.210136,2,81.794,396.210136
1572597000000000,4.882,4.882,4.882,4.882,7.475,36.49295,3,7.475,36.49295
1572598800000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572600600000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572602400000000,4.9,4.931,4.9,4.931,122.672,604.514748,8,122.672,604.514748
1572604200000000,4.92,4.92,4.92,4.92,258.98,1274.1816,2,0.0,0.0
1572606000000000,4.931,4.931,4.925,4.925,2.235,11.007387,2,0.002,0.009862
1572607800000000,4.925,4.925,4.925,4.925,1.015,4.998875,1,0.0,0.0
1572609600000000,4.925,4.925,4.925,4.925,0.0,0.0,0,0.0,0.0
1572611400000000,4.929,4.929,4.929,4.929,2.05,10.10445,1,2.05,10.10445
1572613200000000,4.884,4.884,4.883,4.883,150.048,732.830202,3,148.0,722.82777
1572615000000000,4.883,4.883,4.883,4.883,0.0,0.0,0,0.0,0.0
1572616800000000,4.835,4.835,4.835,4.835,2.06,9.9601,1,0.0,0.0
1572618600000000,4.839,4.839,4.839,4.839,144.53,699.38067,1,0.0,0.0
1572620400000000,4.839,4.839,4.839,4.839,0.0,0.0,0,0.0,0.0
1572622200000000,4.886,4.886,4.799,4.799,55.65,268.62561,6,4.305,21.03423
1572624000000000,4.794,4.833,4.794,4.833,71.518,343.105661,11,6.208,30.003264
1572625800000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572627600000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572629400000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572631200000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572633000000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572634800000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572636600000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572638400000000,4.833,4.833,4.833,4.833,0.0,0.0,0,0.0,0.0
1572640200000000,4.882,4.882,4.882,4.882,6.45,31.4889,1,6.45,31.4889
1572642000000000,4.882,4.882,4.882,4.882,0.004,0.019528,1,0.004,0.019528
1572643800000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572645600000000,4.917,4.931,4.917,4.931,112.414,553.112379,7,112.414,553.112379
1572647400000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572649200000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572651000000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572652800000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572654600000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572656400000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572658200000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572660000000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572661800000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572663600000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572665400000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572667200000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572669000000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572670800000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572672600000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572674400000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572676200000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572678000000000,4.931,4.931,4.931,4.931,0.0,0.0,0,0.0,0.0
1572679800000000,4.881,4.882,4.881,4.882,76.829,375.011378,6,76.829,375.011378
1572681600000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572683400000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572685200000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572687000000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572688800000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572690600000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572692400000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572694200000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572696000000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572697800000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572699600000000,4.882,4.882,4.882,4.882,0.0,0.0,0,0.0,0.0
1572701400000000,4.928,4.942,4.907,4.942,268.672,1323.520659,14,142.654,703.161947
1572703200000000,4.942,4.942,4.942,4.942,0.0,0.0,0,0.0,0.0
1572705000000000,4.942,4.942,4.942,4.942,0.0,0.0,0,0.0,0.0
1572706800000000,4.942,4.942,4.942,4.942,0.0,0.0,0,0.0,0.0
1572708600000000,4.933,4.933,4.933,4.933,2.048,10.102784,1,2.048,10.102784
1572710400000000,4.949,5.098,4.949,4.972,338.857,1693.354882,20,328.164,1640.189286
1572712200000000,4.972,4.982,4.972,4.982,14.405,71.76564,5,14.398,71.730836
1572714000000000,4.982,4.982,4.982,4.982,0.0,0.0,0,0.0,0.0
1572715800000000,5.01,5.01,5.01,5.01,7.715,38.65215,1,7.715,38.65215
1572717600000000,5.01,5.01,5.01,5.01,0.0,0.0,0,0.0,0.0
1572719400000000,5.01,5.01,5.01,5.01,0.0,0.0,0,0.0,0.0
1572721200000000,5.006,5.006,5.006,5.006,2.018,10.102108,1,2.018,10.102108
1572723000000000,5.006,5.006,5.006,5.006,0.0,0.0,0,0.0,0.0
1572724800000000,4.996,5.003,4.96,4.96,13.452,67.158052,4,11.435,57.153732
1572726600000000,4.96,4.96,4.96,4.96,0.0,0.0,0,0.0,0.0
1572728400000000,4.94,4.94,4.94,4.94,41.149,203.27606,1,0.0,0.0
1572730200000000,4.94,4.94,4.94,4.94,0.0,0.0,0,0.0,0.0
1572732000000000,4.94,4.94,4.94,4.94,0.0,0.0,0,0.0,0.0
1572733800000000,4.942,4.96,4.942,4.96,82.9,410.995292,9,82.9,410.995292
1572735600000000,4.96,4.96,4.96,4.96,0.0,0.0,0,0.0,0.0
1572737400000000,4.925,4.925,4.925,4.925,3.248,15.9964,2,0.0,0.0
1572739200000000,4.949,4.949,4.949,4.949,3.248,16.074352,2,3.248,16.074352
1572741000000000,4.96,4.96,4.96,4.96,193.484,959.68064,4,193.484,959.68064
1572742800000000,4.96,4.96,4.96,4.96,0.0,0.0,0,0.0,0.0
1572744600000000,4.951,4.951,4.951,4.951,7.93,39.26143,1,0.0,0.0
1572746400000000,4.992,4.992,4.992,4.992,6.312,31.509504,2,6.312,31.509504
1572748200000000,4.992,4.992,4.992,4.992,0.0,0.0,0,0.0,0.0
1572750000000000,4.992,4.992,4.992,4.992,0.0,0.0,0,0.0,0.0
1572751800000000,4.992,4.992,4.992,4.992,0.0,0.0,0,0.0,0.0
1572753600000000,4.992,4.992,4.992,4.992,0.0,0.0,0,0.0,0.0
1572755400000000,4.954,4.954,4.954,4.954,4.037,19.999298,1,0.0,0.0
1572757200000000,4.951,4.951,4.946,4.946,12.392,61.290877,3,0.0,0.0
1572759000000000,4.957,4.957,4.957,4.957,2.44,12.09508,1,2.44,12.09508
1572760800000000,4.957,4.957,4.957,4.957,3.613,17.909641,2,3.613,17.909641
1572762600000000,4.957,4.957,4.957,4.957,0.0,0.0,0,0.0,0.0
1572764400000000,4.957,4.957,4.957,4.957,0.0,0.0,0,0.0,0.0
1572766200000000,4.935,4.935,4.935,4.935,4.04,19.9374,1,0.0,0.0
1572768000000000,4.935,4.935,4.925,4.925,5.261,25.930555,3,0.0,0.0
1572769800000000,4.925,4.925,4.925,4.925,0.0,0.0,0,0.0,0.0
1572771600000000,4.925,4.925,4.925,4.925,6.092,30.0031,2,6.092,30.0031
1572773400000000,4.903,4.903,4.903,4.903,6.09,29.85927,1,0.0,0.0
1572775200000000,4.906,4.932,4.903,4.903,149.266,735.950222,11,14.818,73.023912
