Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1738368000000000,0.414,0.4148,0.4132,0.4135,38848.0,16096.7628,65,27407.0,11362.2104
1738369800000000,0.4134,0.4157,0.4134,0.4157,35403.0,14702.6231,46,32150.0,13353.5449
1738371600000000,0.4158,0.4163,0.4154,0.4156,24289.0,10099.4756,41,19117.0,7948.8781
1738373400000000,0.4156,0.4171,0.415,0.416,11495.0,4786.9575,31,4542.0,1889.7616
1738375200000000,0.4154,0.4191,0.4154,0.4178,5771.0,2414.8026,21,1224.0,512.0448
1738377000000000,0.4176,0.42,0.4173,0.4196,39498.0,16517.9489,65,30960.0,12946.2312
1738378800000000,0.4199,0.4203,0.4175,0.4179,17744.0,7425.5212,50,3242.0,1356.8653
1738380600000000,0.4172,0.4172,0.4158,0.4165,16470.0,6859.9721,28,1088.0,452.9124
1738382400000000,0.4166,0.4172,0.4152,0.4159,21913.0,9115.8784,51,6439.0,2681.9543
1738384200000000,0.4155,0.4159,0.4147,0.4147,7369.0,3062.4649,22,2821.0,1172.875
1738386000000000,0.4157,0.4198,0.4157,0.4195,30632.0,12820.3971,57,10990.0,4597.703
1738387800000000,0.4195,0.42,0.4189,0.4196,46921.0,19684.6765,58,23824.0,9996.467
1738389600000000,0.4196,0.4197,0.4187,0.4187,15949.0,6682.9131,38,5568.0,2334.2099
1738391400000000,0.4187,0.4191,0.4156,0.4165,118592.0,49438.6918,142,45785.0,19091.2159
1738393200000000,0.4164,0.4168,0.4148,0.4155,71043.0,29520.7355,142,35100.0,14589.6478
1738395000000000,0.4155,0.4156,0.4127,0.4142,77825.0,32217.7722,187,54361.0,22498.5013
1738396800000000,0.4142,0.415,0.41,0.4112,72483.0,29903.642,186,33494.0,13830.1182
1738398600000000,0.4104,0.4121,0.4103,0.4118,88178.0,36229.4147,206,43043.0,17688.7313
1738400400000000,0.4118,0.4121,0.4098,0.4104,101483.0,41645.227,147,44715.0,18347.9545
1738402200000000,0.4107,0.4109,0.4055,0.4061,302266.0,123206.3899,454,124484.0,50734.0635
1738404000000000,0.4064,0.4097,0.4062,0.4093,107155.0,43759.9766,182,75738.0,30951.655
1738405800000000,0.4089,0.4102,0.4061,0.4062,41763.0,17043.2048,86,4270.0,1748.079
1738407600000000,0.4064,0.4092,0.4063,0.4092,12000.0,4891.6506,36,3281.0,1339.851
1738409400000000,0.4089,0.4096,0.4077,0.4095,24801.0,10132.5625,54,15724.0,6421.4329
1738411200000000,0.4095,0.41,0.4077,0.4088,47264.0,19342.3536,86,38341.0,15692.7841
1738413000000000,0.4089,0.4105,0.4088,0.4088,10239.0,4194.7545,33,2174.0,889.6433
1738414800000000,0.4087,0.4093,0.4084,0.4084,18112.0,7405.2535,47,12198.0,4986.9227
1738416600000000,0.408,0.4087,0.4044,0.4049,261743.0,106216.0744,237,125907.0,51117.8858
1738418400000000,0.4049,0.4068,0.4047,0.4064,114903.0,46628.3807,172,63542.0,25789.7379
1738420200000000,0.4064,0.4073,0.4044,0.4044,23812.0,9652.7639,63,5327.0,2165.1662
1738422000000000,0.4047,0.4051,0.4023,0.4038,25524.0,10305.5506,88,17430.0,7037.5949
1738423800000000,0.4037,0.4071,0.4037,0.4071,126241.0,51334.0049,112,94697.0,38503.1688
1738425600000000,0.4067,0.4084,0.4051,0.4073,18344.0,7458.0927,53,14318.0,5822.9638
1738427400000000,0.4076,0.4076,0.4037,0.4037,28209.0,11426.0378,56,16796.0,6805.5424
1738429200000000,0.4043,0.4089,0.4043,0.4073,56913.0,23136.2978,121,42637.0,17321.4313
1738431000000000,0.4071,0.4077,0.4064,0.4076,32872.0,13373.5639,45,13898.0,5653.2363
1738432800000000,0.4078,0.4093,0.4065,0.4071,48653.0,19827.0572,71,21433.0,8741.3582
1738434600000000,0.407,0.407,0.4031,0.4031,15708.0,6360.7158,62,7671.0,3109.2683
1738436400000000,0.4033,0.4033,0.3997,0.4,125819.0,50477.637,239,59528.0,23889.1927
1738438200000000,0.3998,0.3998,0.3967,0.3986,98509.0,39203.1289,190,57110.0,22739.8559
1738440000000000,0.3985,0.4005,0.3964,0.3979,83871.0,33378.6545,190,37119.0,14787.9648
1738441800000000,0.3975,0.4004,0.3962,0.3997,132687.0,52761.3466,310,73623.0,29307.8482
1738443600000000,0.3993,0.4026,0.3978,0.401,68307.0,27436.1799,135,45555.0,18306.8164
