Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1738368000000000,0.37870000,0.37940000,0.37720000,0.37720000,28920.00000000,1738369799999999,10943.70210000,25,3247.00000000,1229.93210000,0
1738369800000000,0.37680000,0.38200000,0.37680000,0.38050000,47504.00000000,1738371599999999,18071.86810000,86,29130.00000000,11070.82540000,0
1738371600000000,0.38140000,0.38350000,0.38130000,0.38350000,29713.00000000,1738373399999999,11370.26650000,79,19685.00000000,7535.76280000,0
1738373400000000,0.38380000,0.38560000,0.38170000,0.38170000,14197.00000000,1738375199999999,5446.10230000,51,6570.00000000,2519.97170000,0
1738375200000000,0.38110000,0.38430000,0.38060000,0.38310000,26566.00000000,1738376999999999,10170.60880000,61,20980.00000000,8034.05050000,0
1738377000000000,0.38300000,0.38470000,0.38210000,0.38400000,15691.00000000,1738378799999999,6019.22240000,38,8602.00000000,3300.53140000,0
1738378800000000,0.38350000,0.38350000,0.38100000,0.38100000,16859.00000000,1738380599999999,6436.00650000,43,8004.00000000,3057.52380000,0
1738380600000000,0.37980000,0.38010000,0.37860000,0.37860000,14985.00000000,1738382399999999,5681.80020000,37,2243.00000000,851.92380000,0
1738382400000000,0.38010000,0.38060000,0.37860000,0.38060000,16504.00000000,1738384199999999,6262.03000000,43,3883.00000000,1474.46950000,0
1738384200000000,0.37950000,0.38040000,0.37790000,0.37820000,34120.00000000,1738385999999999,12951.28670000,71,15027.00000000,5702.72440000,0
1738386000000000,0.37830000,0.37910000,0.37670000,0.37900000,110341.00000000,1738387799999999,41647.34050000,194,44869.00000000,16935.91880000,0
1738387800000000,0.37880000,0.38040000,0.37840000,0.37940000,16079.00000000,1738389599999999,6099.26210000,50,12327.00000000,4674.69050000,0
1738389600000000,0.37930000,0.37930000,0.37600000,0.37600000,79899.00000000,1738391399999999,30182.29810000,114,15758.00000000,5953.69530000,0
