Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1572566400000,4.81800000,4.81800000,4.81800000,4.81800000,2.48900000,1572568199999,11.99200200,1,2.48900000,11.99200200,0
1572568200000,4.81800000,4.81800000,4.81800000,4.81800000,0.00000000,1572569999999,0.00000000,0,0.00000000,0.00000000,0
1572570000000,4.81800000,4.81800000,4.81800000,4.81800000,2.08000000,1572571799999,10.02144000,1,0.00000000,0.00000000,0
1572571800000,4.81800000,4.81800000,4.81800000,4.81800000,0.00000000,1572573599999,0.00000000,0,0.00000000,0.00000000,0
1572573600000,4.81800000,4.81800000,4.81800000,4.81800000,0.00000000,1572575399999,0.00000000,0,0.00000000,0.00000000,0
1572575400000,4.79000000,4.79000000,4.79000000,4.79000000,2.48600000,1572577199999,11.90794000,1,0.00000000,0.00000000,0
1572577200000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572578999999,0.00000000,0,0.00000000,0.00000000,0
1572579000000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572580799999,0.00000000,0,0.00000000,0.00000000,0
1572580800000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572582599999,0.00000000,0,0.00000000,0.00000000,0
1572582600000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572584399999,0.00000000,0,0.00000000,0.00000000,0
1572584400000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572586199999,0.00000000,0,0.00000000,0.00000000,0
1572586200000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572587999999,0.00000000,0,0.00000000,0.00000000,0
1572588000000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572589799999,0.00000000,0,0.00000000,0.00000000,0
1572589800000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572591599999,0.00000000,0,0.00000000,0.00000000,0
1572591600000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572593399999,0.00000000,0,0.00000000,0.00000000,0
1572593400000,4.79000000,4.79000000,4.79000000,4.79000000,0.00000000,1572595199999,0.00000000,0,0.00000000,0.00000000,0
1572595200000,4.84400000,4.84400000,4.84400000,4.84400000,81.79400000,1572596999999,396.21013600,2,81.79400000,396.21013600,0
1572597000000,4.88200000,4.88200000,4.88200000,4.88200000,7.47500000,1572598799999,36.49295000,3,7.47500000,36.49295000,0
1572598800000,4.88200000,4.88200000,4.88200000,4.88200000,0.00000000,1572600599999,0.00000000,0,0.00000000,0.00000000,0
1572600600000,4.88200000,4.88200000,4.88200000,4.88200000,0.00000000,1572602399999,0.00000000,0,0.00000000,0.00000000,0
1572602400000,4.90000000,4.93100000,4.90000000,4.93100000,122.67200000,1572604199999,604.51474800,8,122.67200000,604.51474800,0
1572604200000,4.92000000,4.92000000,4.92000000,4.92000000,258.98000000,1572605999999,1274.18160000,2,0.00000000,0.00000000,0
1572606000000,4.93100000,4.93100000,4.92500000,4.92500000,2.23500000,1572607799999,11.00738700,2,0.00200000,0.00986200,0
1572607800000,4.92500000,4.92500000,4.92500000,4.92500000,1.01500000,1572609599999,4.99887500,1,0.00000000,0.00000000,0
1572609600000,4.92500000,4.92500000,4.92500000,4.92500000,0.00000000,1572611399999,0.00000000,0,0.00000000,0.00000000,0
1572611400000,4.92900000,4.92900000,4.92900000,4.92900000,2.05000000,1572613199999,10.10445000,1,2.05000000,10.10445000,0
1572613200000,4.88400000,4.88400000,4.88300000,4.88300000,150.04800000,1572614999999,732.83020200,3,148.00000000,722.82777000,0
1572615000000,4.88300000,4.88300000,4.88300000,4.88300000,0.00000000,1572616799999,0.00000000,0,0.00000000,0.00000000,0
1572616800000,4.83500000,4.83500000,4.83500000,4.83500000,2.06000000,1572618599999,9.96010000,1,0.00000000,0.00000000,0
1572618600000,4.83900000,4.83900000,4.83900000,4.83900000,144.53000000,1572620399999,699.38067000,1,0.00000000,0.00000000,0
1572620400000,4.83900000,4.83900000,4.83900000,4.83900000,0.00000000,1572622199999,0.00000000,0,0.00000000,0.00000000,0
1572622200000,4.88600000,4.88600000,4.79900000,4.79900000,55.65000000,1572623999999,268.62561000,6,4.30500000,21.03423000,0
1572624000000,4.79400000,4.83300000,4.79400000,4.83300000,71.51800000,1572625799999,343.10566100,11,6.20800000,30.00326400,0
1572625800000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572627599999,0.00000000,0,0.00000000,0.00000000,0
1572627600000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572629399999,0.00000000,0,0.00000000,0.00000000,0
1572629400000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572631199999,0.00000000,0,0.00000000,0.00000000,0
1572631200000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572632999999,0.00000000,0,0.00000000,0.00000000,0
1572633000000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572634799999,0.00000000,0,0.00000000,0.00000000,0
1572634800000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572636599999,0.00000000,0,0.00000000,0.00000000,0
1572636600000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572638399999,0.00000000,0,0.00000000,0.00000000,0
1572638400000,4.83300000,4.83300000,4.83300000,4.83300000,0.00000000,1572640199999,0.00000000,0,0.00000000,0.00000000,0
1572640200000,4.88200000,4.88200000,4.88200000,4.88200000,6.45000000,1572641999999,31.48890000,1,6.45000000,31.48890000,0
1572642000000,4.88200000,4.88200000,4.88200000,4.88200000,0.00400000,1572643799999,0.01952800,1,0.00400000,0.01952800,0
1572643800000,4.88200000,4.88200000,4.88200000,4.88200000,0.00000000,1572645599999,0.00000000,0,0.00000000,0.00000000,0
1572645600000,4.91700000,4.93100000,4.91700000,4.93100000,112.41400000,1572647399999,553.11237900,7,112.41400000,553.11237900,0
1572647400000,4.93100000,4.93100000,4.93100000,4.93100000,0.00000000,1572649199999,0.00000000,0,0.00000000,0.00000000,0
1572649200000,4.93100000,4.93100000,4.93100000,4.93100000,0.00000000,1572650999999,0.00000000,0,0.00000000,0.00000000,0
1572651000000,4.93100000,4.93100000,4.93100000,4.93100000,0.00000000,1572652799999,0.00000000,0,0.00000000,0.00000000,0
